ID (int),Titre (str),Auteur (str),Date (int),Format (str),Genre (List(str)),Lectorat (str),Tags (List(str)),Synopsis (str)
498,"L'épée de vérité, tome 06 : La foi des réprouvés",Terry Goodkind,2006, Roman,[' Fantasy'], Adulte,,"Kahlan est aux portes de la mort.Richard qui, plus que quiconque, se méfie des prophéties, a soudain une vision : il doit emmener Kahlan à l écart de l armée qui les protège et abandonner son peuple à son funeste destin.Kahlan refuse cependant d abandonner la cause des Contrées du Milieu. Elle viole la prophétie et rompt le dernier serment qu elle avait fait à Richard.Au bout du compte, elle se retrouvera face à l architecte de la terreur qui balaie le pays : l empereur fou, Jagang, Celui qui marche dans les rêves, qui a juré de déverser sa rage sur le Nouveau Monde...Titre original : Sword of Truth, book 06: Faith of the Fallen (2000)"
499,Tout ce que les hommes ignorent et que les femmes n'avoueront jamais,Deborah McKinlay,2005, Roman,[' Humour'], Adulte,[' Chick-lit'],"Tout ce que les hommes ignorent... et que les femmes n'avoueront jamais. Du bouquet de fleurs au véritable flirt, des ruptures aux réconciliations, le guide le plus complet du comportement amoureux au XXIe siècle. Les femmes d'aujourd'hui sont apparemment libérées des contraintes d'antan : elles travaillent, s'assument, sortent entre copines et fréquentent les salles de gym... Mais ce que les femmes d'aujourd'hui n'avoueront jamais, c'est qu'elles organisent leurs activités en fonction de celles des hommes ! De leur côté, les hommes n'ont toujours pas compris comment les femmes fonctionnent, ni quel est leur langage... Voici un décryptage hilarant et lucide des codes amoureux de notre époque, où chacun se reconnaîtra forcément.Titre original : Love lies : what men don't know and women won't admit (2005)"
500,"La trilogie des joyaux, tome 2 : Le chevalier de rubis",David Eddings,1993, Roman,[' Fantasy'], Adulte,,"Le royaume d'Élénie se consume de tristesse car la jeune reine se meurt, enchâssée dans un enchantement de cristal. Les precepteurs des quatre ordres combattants se sont consultés : il faut lui rendre vie, sous peine de voir Annias, le vénal primat, se hisser jusqu'à l'archiprélature, quitte à transiger avec l'antique ennemie, Otha de Zémoch, qui campe à la frontière d'Orient. Tout sauf ça ! Émouchet, le chevalier pandion, connaît la solution : retrouver le Bhelliom, la pierre sacrée perdue depuis des siècles, et qui seule peut sauver l'héritière des rois. Le champion tente sa chance avec ses compagnons, désignés par les chevaliers de l'Église. Il sait que Ghwerig, le Troll nain, fera tout pour s'emparer le premier du précieux joyaux. Et même si Émouchet le battait sur la ligne d'arrivée, il ne ferait qu'éveiller la convoitise d'Azash, le dieu du Mal. On ne saurait jouir du Belliom en paix. Priez pourtant, mes frères, priez pour que le champion réussisse ; car s'il vient à échouer, tout le continent d'Éosie sombrera fatalement dans la guerre générale, et la civilisation telle que nous la connaissons cessera d'exister.Titre original : Elenium, book 2: The Ruby Knight (1990)"
501,"Les Annales du Disque-Monde, tome 04 : Mortimer",Terry Pratchett,1994, Roman,"[' Fantasy', ' Humour']", Adulte,[' High Fantasy'],"Mortimer court à travers champs, agitant les bras et criant comme une truie qu'on égorge. Et non. Même les oiseaux n'y croient pas. ""Il a du coeur"", fait le père adossé contre un muret. ""Dame,c'est le reste qui lui manque"", répond l'oncle Hamesh. Mais à la foire à l'embauche, la Mort le remarque et l'emporte sur son cheval Bigadin. Il faut la comprendre : elle a décidé de faire sa vie. Avec un bon commis, elle pourrait partager le travail quotidien, ce qui lui laisserait des loisirs. Un grand destin attend donc Mortimer. Mais... est-ce bien raisonnable ?Titre original : Mort (1987)"
502,"Quand les dieux buvaient (2 tomes), tome 1 : Blanche Neige et les lance-missiles",Catherine Dufour,2008, Roman,[' Fantasy'], Adulte,,"Tous les contes commencent par "" il était une fois "" et finissent par "" ils se marièrent et eurent beaucoup d'enfants "". Oui mais... et après ? Et si le règne de Blanche Neige avait été une horrible dictature ? Et si le miroir magique était devenu gâteux ? Et si Peau d'Âne était tombée amoureuse du prince de Cendrillon ? Une poignée de fées du bois de Boulogne, une bande de spectres, le père Noël et sa fille, l'Ankou et sa faux, le Petit Chaperon rouge et l'affreux démon Bille Guette suffiront-ils à sauver le monde du chaos ?"
503,"Quand les dieux buvaient (2 tomes), tome 2 : Blanche Neige contre Merlin l'enchanteur",Catherine Dufour,2009, Roman,[' Fantasy'], Adulte,,"Tout le monde connaît Merlin. Tout le monde sait qu'il est amoureux de la Dame du Lac. Mais savez-vous que c'est un ange ? Qu'il est d'une beauté sans pareille ? Qu'il a une voix merveilleuse ? Et l'âme la plus noire qu'on puisse trouver, plus noire même que celle de Blanche Neige... Et savez-vous que c'est un vampire ? Un cycle foisonnant de trouvailles, en forme d'hommage à Terry Pratchett et aux Monty Python, et qui puise dans la matière des contes de fées tels qu'on ne les a jamais lus !"
504,Le Silmarillion,J. R. R. Tolkien,1978, Roman,"[' Fantasy', ' Mythes/Mythologie']", Adulte,,"Les Premiers jours du Monde étaient à peine passés quand Fëanor, le plus doué des elfes, créa les trois Silmarils. Ces bijoux renfermaient la Lumière des Deux Arbres de Valinor. Morgoth, le premier Prince de la Nuit, était encore sur la Terre du Milieu, et il fut fâché d'apprendre que la Lumière allait se perpétuer. Alors il enleva les Silmarils, les fit sertir dans son diadème et garder dans la forteresse d'Angband. Les elfes prirent les armes pour reprendre les joyaux et ce fut la première de toutes les guerres. Longtemps, longtemps après, lors de la Guerre de l'Anneau, Elrond et Galadriel en parlaient encore.Titre original : The Silmarillion (1977)"
505,Côte Ouest,Paula Fox,2009, Roman,[' Contemporaine'], Adulte,,"Annie Gianfala, dix-sept ans, abandonnée par son père, est seule et fauchée. Elle avance vers l'Ouest, comme l'Amérique le fit un jour, mais son voyage se déroule dans les années qui précèdent la Seconde Guerre mondiale. Parmi ceux qu'elle rencontre, et qui font son éducation, il y a des idiots, des paumés, des intellectuels blasés, des amants en tout genre, et toutes sortes d'écrivains ratés ou en train de le devenir. Annie est à la fois une enfant perdue et une femme douée de pouvoir. Ce roman, qui explore si magnifiquement les sens, les transcende en même temps.Titre original : The Western coast (2009)"
506,"La guerre des fées / La guerre des elfes, tome 1",Herbie Brennan,2004, Roman,[' Fantasy'], Adolescence,,"Pyrgus est le fils de l'empereur du Royaume des fées de la lumière. Poursuivi par Silas Sulfurique qui veut l'offrir comme sacrifice humain à Beleth, le démon des fées de la nuit, Pyrgus se retrouve perdu dans le monde de Henry, un jeune garçon perturbé par la séparation de ses parents...Titre original : The Faerie Wars Chronicles , book 1: Faerie Wars (2004)"
507,"Contes et légendes inachevés, tome 3 : Le troisième âge",J. R. R. Tolkien,1988, Roman,[' Fantasy'], Adulte,[' High Fantasy'],"D'année en année, le culte jaloux qui entourait LeSeigneur des anneaux à sa publication dans les années 50 s'est transformé en succès universel. Les Hobbits, ce "" peuple effacé mais très ancien "" qui vivait quelque part au nord-ouest de l'Ancien Monde, nous sont devenus aussi familiers que les héros des contes de fées ou ceux des grandes épopées, avec Bilbo, Gandalf, Bombadil ou Galadriel et tous les habitants de la Terre du Milieu.Magistralement restitué par son fils après la mort de J.R.R. Tolkien, Le Troisième Âge des Contes et légendes inachevés prolonge et élargit l'œuvre de l'inépuisable conteur.Titre original : Unfinished Tales of Numenor and Middle-Earth (1988)"
508,Le liseur,Bernhard Schlink,1996, Roman,"[' Contemporaine', ' Drame']", Adulte,,"À quinze ans, Michaël fait par hasard la connaissance, en rentrant du lycée, d'une femme de trente-cinq ans dont il devient l'amant. Pendant six mois, il la rejoint chez elle tous les jours, et l'un de leurs rites consiste à ce qu'il lui fasse la lecture à haute voix. Cette Hanna reste mystérieuse et imprévisible, elle disparaît du jour au lendemain. Sept ans plus tard, Michaël assiste, dans le cadre de des études de droit, au procès de cinq criminelles et reconnaît Hanna parmi elles. Accablée par ses coaccusées, elle se défend mal et est condamnée à la détention à perpétuité. Mais, sans lui parler, Michaël comprend soudain l'insoupçonnable secret qui, sans innocenter cette femme, éclaire sa destinée, et aussi cet étrange premier amour dont il ne se remettra jamais. Il la revoit une fois, bien des années plus tard. Il se met alors, pour comprendre, à écrire leur histoire, et son histoire à lui, dont il dit : ""Comment pourrait-ce être un réconfort, que mon amour pour Hanna soit en quelque sorte le destin de ma génération que j'aurais moins bien su camoufler que les autres ?Titre original : Der Vorleser (1995)"
509,"La guerre des fées / La guerre des elfes, tome 2 : L'Empereur pourpre",Herbie Brennan,2005, Roman,[' Fantasy'], Adolescence,,"Quand le père de Pyrgus Malvae arrive au palais pourpre, son entrée cause un énorme choc. L'Empereur est, en effet, censé être mort. Et ce n'est pas tout : le défunt souverain est devenu un allié des Fées de la nuit. Pyrgus, sa sœur, la princesse Holly Bleu, et leur ami Henry doivent comprendre ce qui se passe vraiment. L'Empereur est-il vivant, mort ou mort vivant? Le temps presse. D'autant plus que l'ennemi de toujours, Lord Noctifer, rôde, en passe de réaliser son rêve le plus fou : prendre le pouvoir...Titre original : The Faerie Wars Chronicles, book 2: The purple emperor (2005)"
510,Deception point,Dan Brown,2006, Roman,[' Thriller'], Adulte,,"Stupéfiante découverte scientifique ou manipulation diabolique ? Du Grand Nord aux grands fonds, un thriller mené à un train d’enfer. Quand un satellite de la NASA détecte une météorite d’une exceptionnelle rareté enfouie sous les glaces du cercle polaire, cela tombe à pic pour l’agence spatiale, impatiente de faire oublier une série d’opérations ratées. À la veille de l’élection présidentielle, alors que son avenir politique est en jeu, le président des États-Unis envoie dans l’Arctique Rachel Sexton, analyste des services secrets, vérifier l’authenticité de cette découverte. Elle y rejoint une équipe d’experts, dont le charismatique océanologue Michael Tolland.Ce que Rachel va découvrir est presque inconcevable : une mystification audacieuse qui risque de déclencher un scandale mondial.Titre original : Deception Point (2001)"
511,"La guerre des fées / La guerre des Elfes, tome 3 : Le seigneur du royaume / La Reine du Royaume",Herbie Brennan,2007, Roman,[' Fantasy'], Adolescence,,"Lors de sa troisième visite au Royaume des fées, Henry réalise que le palais pourpre est à nouveau menacé par des créatures démoniaques. A peine couronnée impératrice, son amie Holly Bleu. doit découvrir si la trêve - proposée par Lord Noctifer entre les Fées de la Nuit et les Fées de la Lumière est vraiment sincère. La survie du royaume en dépend. De son Pyrgus, le frère de Bleu, a découvert des fleurs de cristal qui cacheraient une arme ultra puissante. Seraient-elles triées à la rumeur selon laquelle Bejeth et ses démons projettent d'envahir ronde des fées L'avenir du Royaume semble de plus en plus incertain.Titre original : The Faerie Wars Chronicles, book 3: Ruler of the Realm (2007)"
512,"La guerre des fées / La guerre des elfes, tome 4 : Le destin des fées / Le destin des elfes",Herbie Brennan,2008, Roman,[' Fantasy'], Adolescence,,"Plongé dans le chaos, le Royaume des fées a plus que jamais besoin de Henry. Monsieur Fogarty se meurt, un mal mystérieux accable toutes les couches de la population, des simples habitants de la capitale au Prince Pyrgus, qui vieillissent de plusieurs années à chaque accès de fièvre. Projeté dans un désert hostile, sauvé in extremis par le mystérieux Lorquin, Henry est condamné à réussir son rite de passage. A la fois guerrière et prisonnière, la princesse Holly Bleu nous réserve elle aussi quelques surprises... de taille ! Ce quatrième tome de La guerre des fées nous transporte une fois de plus au-delà de tous les mondes connus.Titre original : The Faerie Wars Chronicles, book 4: Faerie Lord (2008)"
513,"Le cycle de Pendragon, tome 1 : Taliesin",Stephen R. Lawhead,1997, Roman,[' Fantasy'], Adulte,[' Légende arthurienne'],"Fuyant l'engloutissement de l'Atlantide, trois navires désemparés emportent le roi Avallach et sa fille vers Ynys Prydein, une île noyée dans les brumes. Dans ce nouveau monde, où les guerriers celtes luttent pour leur survie dans les derniers soubresauts d'un Empire romain agonisant, ils essaient tant bien que mal de refaire leur vie. De la rencontre de ces deux civilisations, et de l'union de la jeune princesse atlante avec le barde Taliesin, naîtra celui que chacun connaît désormais sous le nom de Merlin...Titre original : The Pendragon Cycle, book 1: Taliesin (1987)"
514,"Les Annales du Disque-Monde, tome 03 : La Huitième Fille",Terry Pratchett,1994, Roman,"[' Fantasy', ' Humour']", Adulte,[' High Fantasy'],"Sentant venir sa mort prochaine, le mage Tambour Billette organise la transmission de ses pouvoirs, de son bourdon, de son fonds de commerce. Nous sommes sur le Disque-Monde (vous y êtes ? Nous y sommes). La succession s'y effectue de huitième fils en huitième fils. Logique. Ainsi opère le mage. Puis il meurt. Or, il apparaît que le huitième fils est cette fois... une fille. Stupeur, désarroi, confusion : jamais on n'a vu pareille incongruité. Trop tard, la transmission s'est accomplie au profit de la petite Eskarina. Elle entame son apprentissage sous la houlette rétive de la sorcière Mémé Ciredutemps...Titre original : Equal Rites (1987)"
515,L'envol des anges,Michael Connelly,2000, Roman,[' Policier'], Adulte,,"Appelé en pleine nuit par son patron, l'inspecteur Harry Bosch est prié de se rendre au funiculaire de l'Angels Flight, où l'on a retrouvé deux cadavres, dont celui d'Howard Elias, avocat des droits civiques qui s'est fait une spécialité de traîner la police de Los Angeles devant la justice. Ces procès lui ont valu une belle popularité chez les Noirs. C'est dire si l'enquête qu'Harry se voit aussitôt confier est explosive : ses collègues constituent des suspects idéaux et s'il commet la moindre erreur, c'est tout le quartier de South Central qui peut s'embraser à nouveau, comme après l'affaire Rodney King.Et pour ne rien arranger sa femme, la belle Eleanor Wish, une ancienne du FBI qui a mal tourné, est en train de le quitter. Mais les ordres sont les ordres. Alors Harry Bosch obéit, et se heurte aussitôt aux premiers sabotages de son travail.Titre original : Angels flight (1999)"
516,Wonderland avenue,Michael Connelly,2002, Roman,[' Policier'], Adulte,,"Alors que Los Angeles en liesse célèbre la nouvelle année, un chien déterre un os d'enfant près de Wonderland avenue. Chargé de l'affaire, l'inspecteur Bosch découvre que le gamin, mort depuis une vingtaine d'années, était rossé régulièrement. Il s'agit évidemment d'un assassinat, mais pourquoi le corps a-t-il été enterré à la va-vite ? Une affaire insoluble sans le soutien de la ravissante Brasher, nouvelle recrue au charme qui ne laisse pas Bosch indifférent...Titre original : City of Bones (2002)"
517,For ever,Carol Higgins Clark,2007, Roman,[' Thriller'], Adulte,,"Dans quelques jours, Regan Reilly dira « oui » à Jack, son fiancé, le chef de la Brigade des enquêtes spéciales. Pour l’occasion, la célèbre détective privée doit être habillée par deux stylistes new-yorkais. Mais leur atelier est cambriolé, et sa robe, envolée ! Il ne lui reste plus qu’à prendre l’enquête en main.Au même moment, Jack est chargé de résoudre une série de hold-up qui sème la panique dans le monde des banquiers. Sans se douter que les deux affaires, dangereusement liées, risquent de compromettre leur mariage...Avec ce nouveau suspense pétillant, Carol Higgins Clark nous entraîne dans une folle course contre la montre, des beaux quartiers de Park Avenue aux casinos d’Atlantic City.Titre original : Hitched (2006)"
518,La tombe du tisserand,Seumas O'Kelly,2009, Roman,[' Conte'], Adulte,,"Dans un village aux confins de la campagne irlandaise, un homme est mort. Il était si âgé qu'une place lui est encore réservée dans l'ancien cimetière, déjà entré dans l'ordre des légendes. Cloon na Morav - le champ des morts - est une enclave hors du temps, où les tombes oubliées s'usent comme des montagnes, où le ciel semble encore plus grand.La veuve est là, accompagnée de deux fossoyeurs et de leurs pelles. Et, comme on ne sait pas très bien où inhumer le mort, deux anciens - sortis des limbes - mènent l'expédition. Deux vieillards têtus, fantasques, à la mémoire vacillante. Tout heureux de cette aventure qui les arrache à leur solitude, ils vont prendre un plaisir cruel à ne pas s'entendre.La tombe du tisserand est introuvable. Sa recherche se transforme en duel dérisoire entre les vieillards et en stupeur de la veuve avec, pour spectateur, ce mort qui a perdu sa tombe. Sur ce scénario, Seumas O'Kelly a bâti un récit grotesque et métaphysique, pas très éloigné de l'univers de Beckett.Titre original : The weaver's grave (2009)"
519,Toutes ces choses qu'on ne s'est pas dites,Marc Levy,2008, Roman,[' Contemporaine'], Adulte,,"Quelques jours avant son mariage, Julia reçoit un coup de fil du secrétaire particulier de son père. Comme elle l'avait pressenti, Anthony Walsh homme d'affaires brillant, mais père distant ne pourra pas assister à la cérémonie. Pour une fois, Julia reconnaît qu'il a une excuse irréprochable. Il est mort. Julia ne peut s'empêcher de voir là un dernier clin d'œil de son père, qui a toujours eu un don très particulier pour disparaître soudainement et faire basculer le cours de sa vie. Le lendemain de l'enterrement, Julia découvre que son père lui réserve une autre surprise. Sans doute le voyage le plus extraordinaire de sa vie... et peut-être pour eux deux l'occasion de se dire, enfin, toutes les choses qu'ils ne se sont pas dites."
520,"Les Annales du Disque-Monde, tome 02 : Le Huitième Sortilège",Terry Pratchett,1993, Roman,"[' Fantasy', ' Humour']", Adulte,[' High Fantasy'],"Octogénaire, borgne, chauve et édenté, Cohen le Barbare, le plus grand héros de tous les temps réussira-t-il à tirer Deuxfleurs et Rincevent des griffes de leurs poursuivants ? Question capitale, car le tissu même du temps et de l'espace est sur le point de passer dans l'essoreuse. Une étoile rouge menace de percuter le Disque-Monde et la survie de celui-ci est entre les mains du sorcier calamiteux : dans son esprit (très) brumeux se tapit en effet le... huitième sortilège ! La suite de l'épopée la plus démente de la Fantasy, avec, dans les seconds rôles, une distribution prestigieuse : le Bagage, l'In-Ocavo, Herrena la harpie, Kwartz le troll, Trymon l'enchanteur maléfique et, naturellement, la Mort...Titre original : The Light Fantastic (1983)"
521,La Ligne verte,Stephen King,1996, Roman,[' Fantastique'], Adulte,[' Adapté en film'],"Paul Edgecombe, ancien gardien-chef d'un pénitencier dans les années 30, entreprend d'écrire ses mémoires. Il revient sur l'affaire John Caffey - ce grand Noir au regard absent, condamné à mort pour le viol et le meurtre de deux fillettes - qui défraya la chronique en 1932.La ligne verte est le reflet d'un univers étouffant et brutal, où la défiance est la règle. Personne ne sort indemne de ce bâtiment coupé du monde, où cohabitent une étrange souris apprivoisée par un Cajun pyromane, le sadique Percy Wetmore avec sa matraque et Caffey, prisonnier sans problème. Assez rapidement convaincu de l'innocence de cet homme doté de pouvoirs surnaturels, Paul fera tout pour le sauver de la chaise électrique.Titre original : The green mile (1996)"
522,Peur noire,Harlan Coben,2009, Roman,[' Thriller'], Adulte,,"Alors que sa vie professionnelle comme agent sportif semble piétiner, et que son père se remet non sans mal d'un infarctus, Myron Bolitar est brutalement précipité dans une affaire dont il se serait bien passé. Son ex-petite amie, Emily Downing, qui l'avait plaqué pour aller épouser son pire ennemi, resurgit dans sa vie en réclamant son aide : elle a un fils de 13 ans atteint de l'anémie de Fanconi. Seule une greffe de moelle osseuse pourrait désormais le sauver. Sauf que le donneur compatible inscrit au fichier est introuvable. Pire, il semble vouloir se cacher. De qui ? Pour quelle raison ?Flanqué de sa garde rapprochée, Myron Bolitar plonge au cœur d'une histoire familiale sombre et vénéneuse, qui l'implique de manière très… personnelle.Titre original : Darkest Fear (2000)"
523,"La Charmeuse de bêtes, tome 1 : Le livre des Tôda ",Nahoko Uehashi,2009, Roman,[' Fantasy'], Adulte,,"Érin n’a que dix ans lorsque sa mère est sauvagement exécutée sous ses yeux pour avoir failli dans sa charge de soigneuse de Tôda de combat. Désormais orpheline, Érin est recueillie par Jônn le vieux professeur passionné d’apiculture, qui l’élève comme sa propre fille. Au contact de cet ancien soigneur de Ôjû, les animaux royaux, Érin se remet peu à peu de ses blessures ; grâce à l’éducation que Jôn lui prodigue et à ses talents exceptionnels, la fillette se découvre elle aussi une vocation de soigneuse et intègre bientôt l’école qui lui permettra de faire de sa passion un métier. Une passion qui la conduira pourtant au coeur d’un terrible conflit..."
524,"Le soldat chamane, tome 1 : La déchirure",Robin Hobb,2006, Roman,[' Fantasy'], Adulte,,"Dans une société aux codes stricts, Jamère, 15 ans, est confié par son père à un guerrier nomade. Grâce à des drogues et une transe chamanique ce dernier projette le jeune homme dans un autre monde où une femme-arbre s'empare de son esprit. A son retour  Jamère est devenu très sensible à la destruction des arbres et de la nature...Titre original : Soldier Son, book 1: Shaman's Crossing (2005)"
525,"Le soldat chamane, tome 2 : Le cavalier rêveur",Robin Hobb,2007, Roman,[' Fantasy'], Adulte,,"Jamère Burvelle poursuit ses études à l'Ecole royale de cavalerie, mais l'antagonisme entre fils d'anciens et de nouveaux nobles croît toujours, attisé par le directeur de l'établissement qui expulse des élèves de la nouvelle aristocratie. La tension mène à des affrontements. Pris dans cette tourmente, Jamère doit faire face aux exigences de la Femme-arbre qu'il voit dans ses rêves...Titre original : Soldier Son, book 1: Shaman's Crossing (2005)"
526,"Le soldat chamane, tome 3 : Le fils rejeté",Robin Hobb,2007, Roman,[' Fantasy'], Adulte,,"La peste ocellionne a décimé l'Ecole de la cavalla.Des centaines d'élèves et d'officiers ont perdu la vie, et ceux qui ont survécu ont dû renoncer à leur carrière militaire. Chez eux, seules la dépendance et la déception les attendent. Tandis que l'infirmerie se vide, Jamère s'apprête lui aussi à rejoindre les siens pour assister au mariage de son frère aîné. Loin d'être brisé comme ses infortunés compagnons, il arbore un généreux embonpoint. A la vérité, il ne cesse de grossir malgré les exercices et les privations qu'il s'impose quotidiennement.La nuit, la femme-arbre hante ses rêves, des rêves dans lesquels sa propre nature ocellionne trahit tout ce qui lui est cher. La peste aurait-elle affecté plus que son corps ?Titre original : Soldier Son, book 2: Forest Mage (2006)"
527,"Le soldat chamane, tome 4 : La magie de la peur",Robin Hobb,2008, Roman,[' Fantasy'], Adulte,,"Désavoué par son père qui ne se résigne pas à le voir obèse, Jamère, dont la famille vient en partie d'être décimée par la peste ocellionne, part de Grandval avec l'intention de poursuivre son destin de fils militaire, quitte à s'engager comme simple soldat. II prend la direction de Guetis, près de la frontière où s'achève provisoirement la Route du roi. En chemin, il croise Buel Faille, éclaireur de l'armée, qui lui ouvre les portes du régiment stationné à Guetis. Il se voit assigné au cimetière de la ville. Là, il affronte pour la première fois la magie et la peur qu'exhalent les montagnes occupées par les Ocellions, en même temps que le pouvoir qu'il sent croître en lui...Titre original : Soldier Son, book 2: Forest Mage (2006)"
528,"La forêt des mythagos, tome 1 : La forêt des mythimages",Robert Holdstock,1983, Roman,[' Fantasy'], Adulte,,"Dans un coin perdu du Herefordshire s'étend le bois de Ryhope, vestige d'une ancienne forêt remontant à la dernière glaciation ; un bois tellement dense qu'il paraît impossible d'y pénétrer au-delà d'une certaine limite. George Huxley, qui s'est établi avec sa famille à l'orée de Ryhope, est pour d'obscures raisons obsédé par cette forêt, par l'idée d'en explorer les profondeurs ; une obsession qui le conduit à négliger sa femme et ses enfants. Après sa mort, en 1946, ses deux fils se retrouvent à Ryhope où, grâce aux carnets qu'il a laissés, l'étrange vérité leur est peu à peu révélée : dans ce coin de l'ancienne Angleterre, il semble que l'inconscient collectif humain soit capable de donner vie aux peuplades des mythes et des légendes. Et qu'au détour d'un sentier, ou bien derrière un arbre, se dissimulent Guiwenneth, la belle princesse celte, Jason et ses argonautes, le roi Arthur Pendragon et bien d'autres héros encore...Titre original : Mythago wood (1981)"
529,Into the wild,Jon Krakauer,1996, Roman,"[' Histoire vraie', ' Drame']", Adulte,[' Biographie'],"Il avait renoncé au rêve américain. Pour vivre une aventure extrême. En 1992, le cadavre d'un jeune homme est découvert dans un bus abandonné en Alaska, au pied du mont Mckinley, loin de tout lieu habité. Fils de bonne famille, Chris McCandless aurait dû en toute logique devenir un américain bien tranquille à l'avenir sans surprise. Mais, dès l'obtention de son diplôme universitaire, il décide de partir à l'aventure. Après avoir fait don de ses économies à une œuvre humanitaire, il entame son périple sous un nom d'emprunt avec sa vieille voiture, qu'il abandonnera un peu plus tard. Il sillonne le sud des Etats-Unis, subsistant grâce à de menus travaux, avant de réaliser son grand projet: s'installer au cœur de l'Alaska, seul, en communion avec la nature. Mais on ne s'improvise pas trappeur, ni homme des bois... Ce parcours dramatique d'un jeune homme qui a voulu vivre jusqu'au bout son impossible idéal est retracé par Jon Krakauer, l'auteur du best-seller tragédie à l'Everest. Livre-culte dans le monde entier, Into the Wild a d'emblée fasciné Sean Penn, qui en a réalisé une adaptation cinématographique applaudie par la critique américaine.Titre original : Into the wild (1996)"
530,Le Livre des choses perdues,John Connolly,2009, Roman,[' Fantastique'], Adulte,,"David a 12 ans et plus de maman. Son père s'est remarié et il a maintenant un demi-frère. C'est pour oublier tout cela qu'il se réfugie dans la lecture.Une nuit, David entend sa mère l'appeler et découvre un passage caché derrière les buissons, au fond du jardin. Il se retrouve alors propulsé dans un univers parallèle, un monde étrange peuplé de trolls, de Sires-Loups et de créatures effrayantes...Grâce à l'aide du Garde Forestier et d'un chevalier, David, après bien des épreuves - énigmes à résoudre, pièges à déjouer, combats à livrer -, rencontrera un vieux roi qui conserve ses secrets dans un livre mystérieux, Le Livre des choses perdues, clé qui lui permettrait de regagner le monde réel.Mais l'Homme Biscornu, être maléfique qui épie David depuis son arrivée, ne l'entend pas de cette oreille. Il a pour le jeune garçon bien d'autres projets..."
531,La sirène rouge,Maurice G. Dantec,1999, Roman,[' Policier'], Adulte,,"Alice, une adolescente de 12 ans, se présente au commissariat d'Amsterdam, une vidéo à la main, et demande à parler d'urgence à l'inspectrice Anita Van Dyke. Elle lui apprend que sa mère est une meurtrière comme le prouve la cassette. En la visionnant, l'inspectrice découvre ""le premier assassinat filmé de sa carrière"". L'enquête commence mais Alice, pourtant sous la protection de la police, s'échappe et se cache dans la voiture d'Hugo qui fait partie d'un réseau clandestin international en lutte contre les totalitarismes. L'enfant veut se rendre au Portugal pour retrouver son père et Hugo accepte de l'aider. Ensemble ils vont traverser l'Europe, pris en chasse par les tueurs de la mère d'Alice, qui dirige un trafic clandestin de snuff movies."
532,Les Racines du Mal,Maurice G. Dantec,1995, Roman,"[' Thriller', ' Science-Fiction']", Adulte,,"Andreas Schaltzmann est persuadé que les habitants de la planète Vega sont installés dans son quartier, à Vitry-sur-Seine, et étendent leurs ramifications jusqu'aux plus hautes sphères de l'État. Paranoïaque, l'homme décide de vider ses comptes en banque et ses chargeurs de revolvers ; il se lance dans une cavalcade meurtrière à travers la France. Arrêté, il apprend qu'on lui attribue des crimes qu'il n'a pas commis. Un trio de scientifiques persuadé de son innocence traquera les véritables tueurs grâce à un ordinateur de type supérieur, baptisé ""neuromatrice"" qui fonctionne comme un cerveau humain mais à une vitesse surmultipliée."
533,Les âmes brûlées,Andrew Davidson,2009, Roman,[' Drame'], Adulte,,"Que feriez-vous si vous vous réveilliez sur un lit d'hôpital, le corps brûlé et couvert de cicatrices? Il ne vous resterait qu'à attendre la mort. A moins qu'un ange passe votre porte... C'est le destin hors norme du héros des Âmes brûlées. L'accident terrible qui le met sur la voie mystique de sa rédemption. Et le début d'une aventure hallucinante, du Moyen Âge à nos jours, de l'enfer à l'amour.Titre original : The Gargoyle (2009)"
534,"La trilogie des joyaux, tome 3 : La rose de saphir",David Eddings,1995, Roman,[' Fantasy'], Adulte,,"Bonne nouvelle : Émouchet a retrouvé le joyau légendaire. Il libère la reine Ehlana du trône de cristal, ce cocon qui la maintenait en vie tandis qu'il cherchait un remède à son mal mystérieux. Quelle déception pour l'empoisonneur, qui avait programmé secrètement l'extinction de la dynastie ! Et quelle tentation pour l'immonde Azash, dieu aîné des Zemochs, qui a besoin de la pierre sacrée pour devenir maître du monde !Alors Émouchet se retrouve soudain traqué par des assassins tapis dans la nuit. Et une autre menace plane, plus ténébreuse encore. Il ne suffit pas d'avoir repris le joyau, il faut maintenant le protéger. Car si l'empoisonneur arrivait à ses fins, il ne se contenterait pas d'usurper le trône, il pourrait livrer à son maître caché le joyau lui-même !Émouchet repart donc avec son écuyer, un novice, un jeune voleur et quatre chevaliers des ordres combattants : huit compagnons qui galoperont jusqu'au terme de leur quête, dans un tourbillon d'aventures et de magie, dans une gerbe d'étincelles et de gloire fulgurante, dans un fracas d'épopée où s'entrechoquent fortissimo et la plus haute bravoure et la plus noire infamie.Titre original : Elenium, book 3: The Sapphire Rose (1991)"
